201  156863 |Loss: 0.004 | Acc: 99.936% 
201  156864 |Loss: 0.004 | Acc: 99.936% 
201  156865 |Loss: 0.004 | Acc: 99.936% 
201  156866 |Loss: 0.004 | Acc: 99.936% 
201  156867 |Loss: 0.004 | Acc: 99.936% 
201  156868 |Loss: 0.004 | Acc: 99.937% 
201  156869 |Loss: 0.004 | Acc: 99.937% 
201  156870 |Loss: 0.004 | Acc: 99.937% 
201  156871 |Loss: 0.004 | Acc: 99.937% 
201  156872 |Loss: 0.004 | Acc: 99.937% 
201  156873 |Loss: 0.004 | Acc: 99.937% 
201  156874 |Loss: 0.004 | Acc: 99.937% 
201  156875 |Loss: 0.004 | Acc: 99.938% 
201  156876 |Loss: 0.004 | Acc: 99.938% 
201  156877 |Loss: 0.004 | Acc: 99.938% 
201  156878 |Loss: 0.004 | Acc: 99.938% 
201  156879 |Loss: 0.004 | Acc: 99.938% 
201  156880 |Loss: 0.004 | Acc: 99.935% 
201  156881 |Loss: 0.004 | Acc: 99.935% 
201  156882 |Loss: 0.004 | Acc: 99.935% 
201  156883 |Loss: 0.004 | Acc: 99.935% 
201  156884 |Loss: 0.004 | Acc: 99.935% 
201  156885 |Loss: 0.004 | Acc: 99.936% 
201  156886 |Loss: 0.004 | Acc: 99.936% 
201  156887 |Loss: 0.004 | Acc: 99.936% 
201  156888 |Loss: 0.004 | Acc: 99.936% 
201  156889 |Loss: 0.004 | Acc: 99.936% 
201  156890 |Loss: 0.004 | Acc: 99.936% 
201  156891 |Loss: 0.004 | Acc: 99.936% 
201  156892 |Loss: 0.004 | Acc: 99.936% 
201  156893 |Loss: 0.004 | Acc: 99.937% 
201  156894 |Loss: 0.004 | Acc: 99.937% 
201  156895 |Loss: 0.004 | Acc: 99.937% 
201  156896 |Loss: 0.004 | Acc: 99.937% 
201  156897 |Loss: 0.004 | Acc: 99.937% 
201  156898 |Loss: 0.004 | Acc: 99.937% 
201  156899 |Loss: 0.004 | Acc: 99.937% 
201  156900 |Loss: 0.004 | Acc: 99.938% 
201  156901 |Loss: 0.004 | Acc: 99.938% 
201  156902 |Loss: 0.004 | Acc: 99.938% 
201  156903 |Loss: 0.004 | Acc: 99.938% 
201  156904 |Loss: 0.004 | Acc: 99.938% 
201  156905 |Loss: 0.004 | Acc: 99.938% 
201  156906 |Loss: 0.004 | Acc: 99.938% 
201  156907 |Loss: 0.004 | Acc: 99.938% 
201  156908 |Loss: 0.004 | Acc: 99.938% 
201  156909 |Loss: 0.004 | Acc: 99.939% 
201  156910 |Loss: 0.004 | Acc: 99.939% 
201  156911 |Loss: 0.004 | Acc: 99.939% 
201  156912 |Loss: 0.004 | Acc: 99.939% 
201  156913 |Loss: 0.004 | Acc: 99.939% 
201  156914 |Loss: 0.004 | Acc: 99.939% 
201  156915 |Loss: 0.004 | Acc: 99.939% 
201  156916 |Loss: 0.004 | Acc: 99.939% 
201  156917 |Loss: 0.004 | Acc: 99.940% 
201  156918 |Loss: 0.004 | Acc: 99.940% 
